sample_id,group_id,text,label,split,verification_status
0af1b81638de4a79400c,fac_1ea9d327400338c92743,صيدلية العايد,pharmacy,train,probable
feac7373c741cb28ef37,fac_1ea9d327400338c92743,Al Ayed Pharmacy,pharmacy,train,probable
ea604c47a2ce731cfe27,fac_d3260ce5472275f437a1,Al-Fara'a Health Clinic,clinic,train,probable
72b8f55f3d03c407cc6a,fac_a82fd024ecbbe8d7bba7,صيدلية الترياق,pharmacy,train,probable
d6004dc2e178a7bb976b,fac_a82fd024ecbbe8d7bba7,Al Toryak,pharmacy,train,probable
4eaf7b4bdc646e5d16d0,fac_13c04997db648e97d52d,عيادة الدكتور علي خليفة,clinic,train,probable
a336efe71b1ac695624e,fac_13c04997db648e97d52d,Ali Khalifa's Clinic,clinic,train,probable
6e9486dfd67258d53311,fac_1efeb14d6b5dde5c898f,صيدلية بورين,pharmacy,train,probable
5fb9d56f56a3fcc37648,fac_1efeb14d6b5dde5c898f,Bourin,pharmacy,train,probable
d07962fdafa682793447,fac_0295d3f7bce1539f3e05,عيادة طبية,clinic,train,probable
9c944d5a65c4c7e7d464,fac_0295d3f7bce1539f3e05,Clinic,clinic,train,probable
d0d4b1e06f54a250199e,fac_9510bffd127bb8144c59,عيادة الدكتور عبد الناصر,clinic,train,probable
1fb5283cf16f3e894ab0,fac_9510bffd127bb8144c59,Dr Abd Al Nasir,clinic,train,probable
31d6e04dd7fdac49346c,fac_7ef2bafa76b8fbd27e3b,عيادة الدكتور عاطف الصفدي,clinic,train,probable
f1752681e6bb96137e7c,fac_7ef2bafa76b8fbd27e3b,Dr.atef clinic,clinic,train,probable
3c0421a51dd10070f43a,fac_bd75218d795f88f72630,عيادة اسنان -بهاء,dental,train,probable
b8d94e88f844f116f3c9,fac_bd75218d795f88f72630,Dr. Baha',dental,train,probable
fde087640733d5154c9c,fac_707e9f160cfb4101ae48,عيادة الدكتور سالم,clinic,train,probable
3b5a1d6f0569d990420e,fac_707e9f160cfb4101ae48,Doctor Salem Clinic,clinic,train,probable
c610cd7c8fbd2952b931,fac_8abab6b87a156e89ed87,صيدلية الاسره,pharmacy,train,probable
4584dc8568dac1ad02a5,fac_8abab6b87a156e89ed87,Family,pharmacy,train,probable
65926bef4d214efa066f,fac_7cf02ed463e940bf73e4,صيدلية حوارة,pharmacy,train,probable
4892685ab4ac4d4139f2,fac_7cf02ed463e940bf73e4,Hawwarah,pharmacy,train,probable
96fb2987597d739d1be3,fac_676876522c876dd1c264,مركز صحي,hospital,train,probable
20eeba19ae48ccd4a436,fac_676876522c876dd1c264,Health Center,hospital,train,probable
2fbf342c20a802e477bc,fac_2d8317b933c09bd8edf4,العيادة الصحية,clinic,train,probable
ee00c42171355f8b3a2f,fac_2d8317b933c09bd8edf4,Health Clinic,clinic,train,probable
aafaf95f26d900111c2a,fac_c3fbecf7fc1e9c9e389b,مركز ابن سينا ( الاغاثه ),clinic,train,probable
df599e5d5b3c3a645076,fac_c3fbecf7fc1e9c9e389b,Ibn Sina Center,clinic,train,probable
48374b2de501e74c296a,fac_745ca03bf37f1cae2b36,عيادة امومة,clinic,train,probable
853a6c4ad8c593deeb29,fac_745ca03bf37f1cae2b36,Jit Clinic,clinic,train,probable
01728803e895c7a8cc64,fac_08d38ac142846614fefb,صيدلية عوريف,pharmacy,train,probable
29f2a5a3ea92566ce7b1,fac_08d38ac142846614fefb,Orif,pharmacy,train,probable
b4d75bfaf67ca57c1a47,fac_2a9675eaab2a316fa701,صيدلية روان,pharmacy,train,probable
7d35a502c0b20000ebb1,fac_2a9675eaab2a316fa701,rawan pharmacy,pharmacy,train,probable
b42f0a90216dc6f2a1b2,fac_1f1aa4fd733ba71885d4,صيدلية روان,pharmacy,train,probable
7b9253352311bd3b1c96,fac_1f1aa4fd733ba71885d4,Rawan pharmacy,pharmacy,train,probable
07b1ca36f13d740ab027,fac_472b6f7b8fb1402ac892,الهلال الاحمر,clinic,train,probable
ca7dc6ed41241c1c43cb,fac_472b6f7b8fb1402ac892,Red Crescent,clinic,train,probable
a4082c85969b7f4fac7c,fac_861ed13c11f1719dbc1a,عيادة سبسطية,clinic,train,probable
efce5064010959c2936b,fac_861ed13c11f1719dbc1a,Sabastia Clinic,clinic,train,probable
b219815badae0bb667bf,fac_65b332f30d0afd02586e,مستوصف قريه سالم,hospital,train,probable
82090fe2a646d0c44d80,fac_65b332f30d0afd02586e,Salem Emregence Point,hospital,train,probable
11499b318a6f66250a06,fac_9a06e2e1785981a77ad3,Shaher Mansour,clinic,train,probable
7635ea42820c996e37eb,fac_abd13ff303894b14c70e,المستودعات المركزية -وزارة الصحة,clinic,train,probable
6439912b1f0a0bfab9a4,fac_11c25b8655e2723c2c51,صيدلية النصر,pharmacy,train,probable
ce2db9081a965ec9c78b,fac_6a53e3c12d41f9414c9e,صيدلية جيت,pharmacy,train,probable
09fea650088d4fffce02,fac_e368911fa5ac4970bae8,صيدلية نور الخافظ,pharmacy,train,probable
2bcc1d13556707de749d,fac_abae9be75da25144d29e,صيدلية هادي الجديدة,pharmacy,train,probable
124e76d6833d7a6a75c6,fac_abae9be75da25144d29e,صيدلية هادي,pharmacy,train,probable
c0c3b748179e4997e015,fac_71c2d3fd8187675afeaa,عيادة ديرشرف,clinic,train,probable
af6160d6472f59f9c48a,fac_0a15566a16be5234065f,عيادة مخيم الفارعة ( الوكالة),hospital,train,probable
f8dfb86f951a9e5ea48f,fac_9b71f7b9ecd6f6ddcc26,مختير ابوخلف الطبي,clinic,train,probable
87a75bea2b1cf766cc2f,fac_9b71f7b9ecd6f6ddcc26,Abu Khalaf Lab,clinic,train,probable
e11ddb37345824aa5d33,fac_c7b51f9bb0da1ee0e9f9,مختبر احلام,clinic,train,probable
5f70b99f753cc0fb3ae7,fac_c7b51f9bb0da1ee0e9f9,Ahlam Lab,clinic,train,probable
0d9065c3af536edb1e34,fac_257a20660c87146038bd,الادهم للاشعه,clinic,train,probable
d086581b12e8e7fbe5fc,fac_257a20660c87146038bd,Al Adham X-ray,clinic,train,probable
ec6b78e6294ce8a564d9,fac_3f995e0665dcf0b031a9,مستشفى الأمل للعلاج الطبيعي,hospital,train,probable
96dc83750e828d8bba19,fac_3f995e0665dcf0b031a9,Al Amal For Physical Therapy,hospital,train,probable
73da084515a8aecbaa29,fac_f8cf9fbc432b23f65755,صيدلية الامير,pharmacy,train,probable
