osm_type,osm_id,osm_url,name_ar,name_en,name_raw,type_raw_amenity,type_raw_healthcare,type_normalized,lat,lng,phone,address,name_ar_provided,name_en_provided,phone_provided,address_provided,type_provided
node,431897069,https://www.openstreetmap.org/node/431897069,صيدلية الحكمة,,Al Hikmah,pharmacy,,pharmacy,32.2509096,35.2693013,,,True,False,False,False,True
node,431908879,https://www.openstreetmap.org/node/431908879,مختير ابوخلف الطبي,,Abu Khalaf Lab,doctors,,clinic,32.222535,35.2627939,,,True,False,False,False,True
node,431911387,https://www.openstreetmap.org/node/431911387,الخليل الجديدة,,New Hebron,pharmacy,,pharmacy,32.2208854,35.2505042,,نابلس,True,False,False,True,True
node,431913799,https://www.openstreetmap.org/node/431913799,عيادة هاشم,,Dr Hasim,doctors,,clinic,32.2525629,35.2694396,,,True,False,False,False,True
node,431915153,https://www.openstreetmap.org/node/431915153,مختبر احلام,,Ahlam Lab,doctors,,clinic,32.2180387,35.2647514,,,True,False,False,False,True
node,431915395,https://www.openstreetmap.org/node/431915395,صيدلية سفير,Shqer,صيدلية شقير,pharmacy,,pharmacy,32.2225474,35.2416137,,,True,True,False,False,True
node,431919833,https://www.openstreetmap.org/node/431919833,صيدلية الزيتونة,,Al Zaitona,pharmacy,,pharmacy,32.2522434,35.2690866,,,True,False,False,False,True
node,431920698,https://www.openstreetmap.org/node/431920698,مستشفى رفيديا,,Rafidia Hospital,hospital,,hospital,32.2255247,35.2416936,,,True,False,False,False,True
node,431923237,https://www.openstreetmap.org/node/431923237,صيدلية سنا,Amanda Pharmacy,صيدلية اماندا,pharmacy,,pharmacy,32.2263293,35.3031367,,,True,True,False,False,True
node,431927304,https://www.openstreetmap.org/node/431927304,صيدلية المصري,,Al Masri,pharmacy,,pharmacy,32.2210613,35.2528757,,addr:city,True,False,False,True,True
node,431935495,https://www.openstreetmap.org/node/431935495,عمارة الرازي للاطباء,,Al Razi,doctors,,clinic,32.2258168,35.2438848,,,True,False,False,False,True
node,431935516,https://www.openstreetmap.org/node/431935516,صيدليه عبير,,Abeer,pharmacy,,pharmacy,32.2175719,35.2693226,,,True,False,False,False,True
node,431937595,https://www.openstreetmap.org/node/431937595,صيدلية دعاء,Al Maha Pharmacy,صيدلية المها,pharmacy,,pharmacy,32.2292033,35.2567632,092370647,شارع الاتحاد,True,True,True,True,True
node,431941611,https://www.openstreetmap.org/node/431941611,صيدلية الامير,,Al Amier,pharmacy,,pharmacy,32.2376753,35.2436554,,,True,False,False,False,True
node,431943687,https://www.openstreetmap.org/node/431943687,صيدلية رفيديا,,Rafedia,pharmacy,,pharmacy,32.2212705,35.2383943,,,True,False,False,False,True
node,431945002,https://www.openstreetmap.org/node/431945002,الشخشير,,Al Shakhsher,pharmacy,,pharmacy,32.2210595,35.2314923,,,True,False,False,False,True
node,431955801,https://www.openstreetmap.org/node/431955801,صيدلية راس العين,,Ras Alain,pharmacy,,pharmacy,32.2168171,35.2599845,,,True,False,False,False,True
node,431964362,https://www.openstreetmap.org/node/431964362,صيدلية الزهراء,,Al Zahra',pharmacy,,pharmacy,32.2156356,35.2569566,,,True,False,False,False,True
node,431967941,https://www.openstreetmap.org/node/431967941,صيدلية الاتحاد,,Al Itihad Pharmacy,pharmacy,,pharmacy,32.2287198,35.2572975,,,True,False,False,False,True
node,431970468,https://www.openstreetmap.org/node/431970468,صيدليه فادي,,Fadi,pharmacy,,pharmacy,32.2188001,35.2731688,,isso street,True,False,False,True,True
node,431972689,https://www.openstreetmap.org/node/431972689,صيدلية بيت ايبا,,Bait Iba,pharmacy,,pharmacy,32.238526,35.2128725,,,True,False,False,False,True
node,431975130,https://www.openstreetmap.org/node/431975130,منزل الدكتور هيثم عيسى,,Dr.Haitham Isa,doctors,,clinic,32.1999764,35.2124598,,,True,False,False,False,True
node,431976389,https://www.openstreetmap.org/node/431976389,صيدلية حواء,Hawa'a,صيدلية حواء,pharmacy,,pharmacy,32.218522,35.2669576,,نابلس,True,True,False,True,True
node,431977294,https://www.openstreetmap.org/node/431977294,المستشفى العربي,The Specialized Arabic Hospital,المستشفى العربي التخصصي,hospital,,hospital,32.2233879,35.2398405,,,True,True,False,False,True
node,431981177,https://www.openstreetmap.org/node/431981177,صيدلية عمر,,Omar,pharmacy,,pharmacy,32.2220767,35.2626237,,,True,False,False,False,True
node,431989567,https://www.openstreetmap.org/node/431989567,منزل وعيادة الدكتور مرزوق محمد الصالحي,,Marzoq Mohammad Al Sahili,doctors,,clinic,32.2233277,35.2978401,,,True,False,False,False,True
node,431993699,https://www.openstreetmap.org/node/431993699,عيادة طبية,,Clinic,doctors,,clinic,32.2518239,35.2711321,,,True,False,False,False,True
node,432004724,https://www.openstreetmap.org/node/432004724,صيدلية الكندي,,,pharmacy,,pharmacy,32.2146155,35.2716798,,,True,False,False,False,True
node,432038524,https://www.openstreetmap.org/node/432038524,الادهم للاشعه,,Al Adham X-ray,doctors,,clinic,32.2237087,35.2593954,,,True,False,False,False,True
node,432044460,https://www.openstreetmap.org/node/432044460,الدكتور صلاح,,Dr. Salah,doctors,,clinic,32.2195923,35.2657767,,,True,False,False,False,True
